Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,International Flag,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,WS
Michael Beasley,866,MIA,1,2,2008,Kansas State,2007-08,Kansas State,0,33,33,1041,307,577,271,482,36,95,216,279,131,277,408,38,42,54,95,85,0.532,0.562,0.379,0.774,0.61,0.563,F,FR,4.6
Mario Chalmers,498,MIN,2,4,2008,Kansas,2007-08,Kansas,0,39,38,1170,164,318,91,162,73,156,97,130,14,106,120,169,97,23,75,99,0.516,0.562,0.468,0.746,0.656,0.631,G,JR,5.2
Joe Crawford,538,LAL,2,28,2008,Kentucky,2007-08,Kentucky,0,30,22,1009,188,401,125,228,63,173,99,130,31,78,109,64,17,5,83,81,0.469,0.548,0.364,0.762,0.581,0.547,G,SR,0
Joey Dorsey,261,POR,2,3,2008,Memphis,2007-08,Memphis,0,38,33,958,108,167,108,167,0,0,45,119,134,228,362,20,41,74,41,107,0.647,0.647,,0.378,0.584,0.647,F,SR,1.9
Chris Douglas-Roberts,724,NJN,2,10,2008,Memphis,2007-08,Memphis,0,40,40,1147,259,479,214,370,45,109,161,226,53,112,165,71,49,18,83,68,0.541,0.578,0.413,0.712,0.617,0.588,G,JR,2.4
J.R. Giddens,537,BOS,1,30,2008,New Mexico,2007-08,New Mexico,0,33,33,1063,210,407,185,332,25,75,92,157,57,233,290,103,47,39,73,64,0.516,0.557,0.333,0.586,0.558,0.547,G,SR,0.1
Malik Hairston,505,PHO,2,18,2008,Oregon,2007-08,Oregon,0,31,31,976,176,335,124,215,52,120,101,138,45,105,150,66,19,26,55,90,0.525,0.577,0.433,0.732,0.63,0.603,G,SR,0.7
Roy Hibbert,454,TOR,1,17,2008,Georgetown,2007-08,Georgetown,0,34,34,894,179,294,176,291,3,3,93,144,75,141,216,63,18,75,57,92,0.609,0.605,1,0.646,0.626,0.614,C,SR,6.2
J.J. Hickson,458,CLE,1,19,2008,NC State,2007-08,NC State,0,31,26,890,163,276,163,275,0,1,132,195,80,182,262,31,22,47,83,60,0.591,0.593,0,0.677,0.621,0.591,F,FR,6.9
Darnell Jackson,447,MIA,2,22,2008,Kansas,2007-08,Kansas,0,40,35,971,171,273,169,267,2,6,103,149,81,186,267,43,31,19,51,90,0.626,0.633,0.333,0.691,0.65,0.63,F,SR,0.8
Sasha Kaun,284,OKC,2,26,2008,Kansas,2007-08,Kansas,0,40,6,707,109,176,109,176,0,0,66,122,64,90,154,12,17,49,32,97,0.619,0.619,,0.541,0.607,0.619,C,SR,0.2
Kosta Koufos,534,UTA,1,23,2008,Ohio State,2007-08,Ohio State,0,37,35,1003,222,437,200,374,22,63,68,100,98,149,247,19,16,67,55,81,0.508,0.535,0.349,0.68,0.551,0.533,F,FR,6.5
Courtney Lee,735,ORL,1,22,2008,Western Kentucky,2007-08,Western Kentucky,0,36,36,1079,259,543,190,369,69,174,148,180,48,127,175,75,65,28,84,87,0.477,0.515,0.397,0.822,0.585,0.541,G,SR,4.8
Brook Lopez,521,NJN,1,10,2008,Stanford,2007-08,Stanford,0,27,25,831,184,393,184,387,0,6,153,194,77,144,221,37,16,56,58,66,0.468,0.475,0,0.789,0.537,0.468,F,SO,9
Robin Lopez,367,PHO,1,15,2008,Stanford,2007-08,Stanford,0,36,30,883,140,262,139,261,1,1,86,132,93,111,204,22,18,83,63,94,0.534,0.533,1,0.652,0.565,0.536,C,SO,9.5
Kevin Love,681,MEM,1,5,2008,UCLA,2007-08,UCLA,0,39,38,1156,227,406,198,324,29,82,198,258,142,273,415,75,27,56,78,73,0.559,0.611,0.354,0.767,0.644,0.595,C,FR,14.3
O.J. Mayo,684,MIN,1,3,2008,Southern California,2007-08,Southern California,0,33,32,1216,237,536,149,321,88,215,122,152,35,115,150,109,51,13,117,80,0.442,0.464,0.409,0.803,0.562,0.524,G,FR,5.6
JaVale McGee,466,WAS,1,18,2008,Nevada,2007-08,Nevada,0,33,31,902,189,357,175,315,14,42,74,141,83,159,242,20,26,92,80,82,0.529,0.556,0.333,0.525,0.55,0.549,F,SO,5.9
Derrick Rose,597,CHI,1,1,2008,Memphis,2007-08,Memphis,0,40,39,1168,208,436,173,332,35,104,146,205,54,127,181,189,48,15,107,68,0.477,0.521,0.337,0.712,0.56,0.517,G,FR,13.1
Brandon Rush,507,POR,1,13,2008,Kansas,2007-08,Kansas,0,38,30,1127,180,414,100,223,80,191,67,86,57,138,195,81,32,32,69,60,0.435,0.448,0.419,0.779,0.557,0.531,G,JR,3.5
Sean Singletary,653,SAC,2,12,2008,Virginia,2007-08,Virginia,0,33,33,1122,203,476,145,318,58,158,189,222,26,101,127,202,60,1,128,88,0.426,0.456,0.367,0.851,0.562,0.487,G,SR,0
