Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,International Flag,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,WS
Marreese Speights,522,PHI,1,16,2008,Florida,2007-08,Florida,0,36,36,874,216,346,216,346,0,0,90,130,93,197,290,34,15,49,62,82,0.624,0.624,,0.692,0.64,0.624,C,SO,4.2
Jason Thompson,694,SAC,1,12,2008,Rider,2007-08,Rider,0,34,34,1177,275,491,264,457,11,34,133,229,114,298,412,93,36,91,99,100,0.56,0.578,0.324,0.581,0.579,0.571,C,SR,4
Henry Walker,498,WAS,2,17,2008,Kansas State,2007-08,Kansas State,0,31,28,846,181,389,146,275,35,114,101,137,79,117,196,59,27,17,81,101,0.465,0.531,0.307,0.737,0.548,0.51,F,FR,1.9
Kyle Weaver,426,CHA,2,8,2008,Washington State,2007-08,Washington State,0,35,35,1159,138,298,114,232,24,66,126,172,37,147,184,151,60,25,97,66,0.463,0.491,0.364,0.733,0.561,0.503,G,SR,1.2
Sonny Weems,509,CHI,2,9,2008,Arkansas,2007-08,Arkansas,0,34,34,1067,197,425,143,279,54,146,61,76,56,96,152,89,45,8,96,74,0.464,0.513,0.37,0.803,0.552,0.527,F,SR,1.3
Russell Westbrook,497,OKC,1,4,2008,UCLA,2007-08,UCLA,0,39,34,1318,182,391,156,314,26,77,107,150,61,92,153,167,63,7,96,93,0.465,0.497,0.338,0.713,0.538,0.499,G,SO,14
D.J. White,575,DET,1,29,2008,Indiana,2007-08,Indiana,0,33,33,1105,216,357,215,354,1,3,142,206,100,241,341,25,26,54,63,83,0.605,0.607,0.333,0.689,0.632,0.606,F,SR,1.8
Arron Afflalo,608,DET,1,27,2007,UCLA,2006-07,UCLA,0,36,36,1186,210,456,123,224,87,232,101,126,15,84,99,70,22,8,64,66,0.461,0.549,0.375,0.802,0.589,0.556,G,JR,6.2
Morris Almond,844,UTA,1,25,2007,Rice,2006-07,Rice,0,32,32,1069,263,544,186,375,77,169,241,285,43,167,210,37,38,24,109,68,0.483,0.496,0.456,0.846,0.621,0.554,G,SR,0.1
Corey Brewer,490,MIN,1,7,2007,Florida,2006-07,Florida,0,37,37,1053,169,356,129,237,40,119,112,155,40,133,173,109,69,15,93,72,0.475,0.544,0.336,0.723,0.57,0.531,F,JR,5.2
Aaron Brooks,621,HOU,1,26,2007,Oregon,2006-07,Oregon,0,35,35,1289,213,463,133,265,80,198,115,136,31,118,149,149,48,6,89,88,0.46,0.502,0.404,0.846,0.589,0.546,G,SR,5.5
Derrick Byars,577,POR,2,12,2007,Vanderbilt,2006-07,Vanderbilt,0,34,34,1068,206,451,127,239,79,212,86,121,52,113,165,116,48,4,80,81,0.457,0.531,0.373,0.711,0.567,0.544,G,SR,0.1
Wilson Chandler,497,NYK,1,23,2007,DePaul,2006-07,DePaul,0,34,32,1078,194,431,155,314,39,117,70,107,63,172,235,48,22,47,55,96,0.45,0.494,0.333,0.654,0.516,0.495,F,SO,3.9
Daequan Cook,382,PHI,1,21,2007,Ohio State,2006-07,Ohio State,0,39,1,770,141,317,87,187,54,130,46,66,28,139,167,40,28,10,56,66,0.445,0.465,0.415,0.697,0.548,0.53,G,FR,2.2
Javaris Crittenton,460,LAL,1,19,2007,Georgia Tech,2006-07,Georgia Tech,0,32,31,1003,158,351,122,250,36,101,108,138,28,91,119,184,65,2,124,67,0.45,0.488,0.356,0.783,0.552,0.501,G,FR,0.1
JamesOn Curry,607,CHI,2,21,2007,Oklahoma State,2006-07,Oklahoma State,0,35,35,1295,202,447,114,233,88,214,115,145,15,96,111,131,41,11,109,74,0.452,0.489,0.411,0.793,0.588,0.55,G,JR,0
Jermareo Davidson,419,GSW,2,6,2007,Alabama,2006-07,Alabama,0,30,30,968,149,366,145,350,4,16,117,151,63,184,247,44,23,70,50,54,0.407,0.414,0.25,0.775,0.479,0.413,F,SR,0.1
Glen Davis,512,OKC,2,5,2007,Louisiana State,2006-07,Louisiana State,0,29,28,1016,178,368,161,319,17,49,139,195,113,190,303,66,32,28,82,67,0.484,0.505,0.347,0.713,0.556,0.507,F,JR,4.9
Jared Dudley,571,CHA,1,22,2007,Boston College,2006-07,Boston College,0,30,30,1152,195,347,156,259,39,88,142,191,91,157,248,90,42,10,78,66,0.562,0.602,0.443,0.743,0.652,0.618,F,SR,5.6
Kevin Durant,903,OKC,1,2,2007,Texas,2006-07,Texas,0,35,35,1255,306,647,224,444,82,203,209,256,106,284,390,46,66,67,99,71,0.473,0.505,0.404,0.816,0.587,0.536,F,FR,19.2
Nick Fazekas,652,DAL,2,4,2007,Nevada,2006-07,Nevada,0,32,32,969,248,437,220,372,28,65,128,151,95,259,354,56,24,48,64,74,0.568,0.591,0.431,0.848,0.641,0.6,F,SR,0.8
Aaron Gray,499,CHI,2,19,2007,Pittsburgh,2006-07,Pittsburgh,0,36,35,1016,204,361,204,361,0,0,91,166,120,221,341,61,15,62,55,91,0.565,0.565,,0.548,0.567,0.565,C,SR,1.4
Jeff Green,528,BOS,1,5,2007,Georgetown,2006-07,Georgetown,0,37,37,1232,196,382,160,286,36,96,100,129,62,174,236,117,30,43,96,92,0.513,0.559,0.375,0.775,0.596,0.56,F,JR,6.6
Taurean Green,531,POR,2,22,2007,Florida,2006-07,Florida,0,40,40,1328,154,347,72,145,82,202,141,166,9,87,96,147,42,1,107,60,0.444,0.497,0.406,0.849,0.623,0.562,G,JR,-0.1
Spencer Hawes,461,SAC,1,10,2007,Washington,2006-07,Washington,0,31,24,896,193,363,192,360,1,3,74,98,61,136,197,60,16,54,78,70,0.532,0.533,0.333,0.755,0.563,0.533,C,FR,4.5
Al Horford,502,ATL,1,3,2007,Florida,2006-07,Florida,0,38,36,1057,186,306,186,304,0,2,130,202,96,264,360,82,28,70,68,94,0.608,0.612,0,0.644,0.624,0.608,F,JR,10.9
Carl Landry,643,OKC,2,1,2007,Purdue,2006-07,Purdue,0,34,34,1035,219,367,215,348,4,19,201,277,101,148,249,42,40,32,102,99,0.597,0.618,0.211,0.726,0.645,0.602,F,SR,7.7
Dominic McGuire,432,WAS,2,17,2007,Fresno State,2006-07,Fresno State,0,32,32,1054,153,325,133,258,20,67,106,181,70,244,314,104,28,114,119,91,0.471,0.516,0.299,0.586,0.526,0.502,G,JR,1.7
Josh McRoberts,430,POR,2,7,2007,Duke,2006-07,Duke,0,33,32,1164,164,327,159,304,5,23,97,146,69,191,260,114,39,82,80,83,0.502,0.523,0.217,0.664,0.542,0.509,F,SO,6.5
Demetris Nichols,663,POR,2,23,2007,Syracuse,2006-07,Syracuse,0,35,35,1217,225,503,125,263,100,240,113,133,50,140,190,54,49,37,77,73,0.447,0.475,0.417,0.85,0.586,0.547,F,SR,0
Joakim Noah,479,CHI,1,9,2007,Florida,2006-07,Florida,0,40,40,1034,173,285,172,284,1,1,132,199,102,235,337,90,45,72,100,90,0.607,0.606,1,0.663,0.631,0.609,C,JR,11.2
Gabe Pruitt,324,BOS,2,2,2007,Southern California,2006-07,Southern California,0,26,24,861,104,250,56,113,48,137,68,85,15,58,73,113,47,7,48,56,0.416,0.496,0.35,0.8,0.558,0.512,G,JR,0.4
Chris Richard,248,MIN,2,11,2007,Florida,2006-07,Florida,0,40,4,735,98,142,98,142,0,0,52,83,63,84,147,17,13,12,47,92,0.69,0.69,,0.627,0.683,0.69,C,SR,0.4
Ramon Sessions,417,MIL,2,26,2007,Nevada,2006-07,Nevada,0,34,33,1028,140,310,121,260,19,50,118,143,38,123,161,159,29,7,85,41,0.452,0.465,0.38,0.825,0.552,0.482,G,JR,5.6
Jason Smith,504,MIA,1,20,2007,Colorado State,2006-07,Colorado State,0,30,28,905,175,302,175,299,0,3,154,200,98,206,304,58,16,47,102,94,0.579,0.585,0,0.77,0.635,0.579,F,JR,2.3
Rodney Stuckey,712,DET,1,15,2007,Eastern Washington,2006-07,Eastern Washington,0,29,29,965,227,501,184,340,43,161,215,254,35,100,135,160,71,9,98,68,0.453,0.541,0.267,0.846,0.573,0.496,G,SO,5
Al Thornton,690,LAC,1,14,2007,Florida State,2006-07,Florida State,0,35,35,1092,244,460,208,379,36,81,166,210,106,145,251,24,53,40,87,95,0.53,0.549,0.444,0.79,0.616,0.57,G,SR,2.2
Alando Tucker,716,PHO,1,29,2007,Wisconsin,2006-07,Wisconsin,0,36,36,1181,256,545,216,422,40,123,164,249,78,118,196,73,33,10,60,45,0.47,0.512,0.325,0.659,0.54,0.506,G,SR,0.2
Marcus Williams,497,SAS,2,3,2007,Arizona,2006-07,Arizona,0,30,29,987,196,397,173,317,23,80,82,118,63,137,200,67,33,23,80,66,0.494,0.546,0.288,0.695,0.549,0.523,F,SO,0
Sean Williams,182,NJN,1,17,2007,Boston College,2006-07,Boston College,0,15,15,483,63,115,63,115,0,0,56,80,36,68,104,18,21,75,35,48,0.548,0.548,,0.7,0.595,0.548,F,JR,2.5
Brandan Wright,545,CHA,1,8,2007,North Carolina,2006-07,North Carolina,0,37,37,1013,228,353,228,353,0,0,89,157,77,152,229,37,36,65,59,55,0.646,0.646,,0.567,0.637,0.646,F,FR,6.1
Julian Wright,456,NOH,1,13,2007,Kansas,2006-07,Kansas,0,38,37,1048,190,346,187,333,3,13,73,119,96,202,298,82,55,49,91,94,0.549,0.562,0.231,0.613,0.566,0.553,F,SO,1.7
Nick Young,647,WAS,1,16,2007,Southern California,2006-07,Southern California,0,37,36,1227,239,455,195,355,44,100,125,159,44,127,171,50,27,10,90,92,0.525,0.549,0.44,0.786,0.61,0.574,F,JR,3.2
Thaddeus Young,445,PHI,1,12,2007,Georgia Tech,2006-07,Georgia Tech,0,31,31,917,177,370,138,277,39,93,52,70,72,79,151,63,39,12,67,61,0.478,0.498,0.419,0.743,0.552,0.531,F,FR,7.4
Marco Belinelli,528,GSW,1,18,2007,Fortitudo,2006-07,Fortitudo,1,33,33,1035,177,419,101,188,76,231,98,131,19,40,59,45,67,3,76,97,0.422,0.537,0.329,0.748,,,G,IN,5.9
Jonathan Kuminga,206,GSW,1,7,2021,GLI,2020-21,GLI,1,13,13,456.2,72,186,56,121,16,65,30,48,15,78,93,35,13,11,34,27,0.387,0.462,0.246,0.625,,,F,IN,3
Josh Giddey,304,OKC,1,6,2021,Adelaide,2020-21,Adelaide,1,29,29,899,114,267,85,168,29,99,47,68,32,174,206,209,30,13,93,43,0.427,0.506,0.293,0.691,,,G,IN,0.4
Rudy Fernández,520,PHO,1,24,2007,Joventut,2006-07,Joventut,1,32,32,884,160,347,86,154,74,193,126,148,33,91,124,95,71,4,78,77,0.461,0.558,0.383,0.851,,,F,IN,6.1
Alperen Sengun,557,OKC,1,16,2021,Beşiktaş,2020-21,Beşiktaş,1,29,29,821,203,314,199,293,4,21,147,181,119,153,272,73,39,48,68,89,0.646,0.679,0.19,0.812,,,C,IN,2.1
Tiago Splitter,329,SAS,1,28,2007,Baskonia,2006-07,Baskonia,1,29,29,687,121,197,121,195,0,2,87,142,63,93,156,19,35,22,46,81,0.614,0.621,0,0.613,,,F,IN,8.2
Danilo Gallinari,508,NYK,1,6,2008,Milano,2007-08,Milano,1,29,29,983,147,318,94,187,53,131,161,188,42,123,165,39,57,14,52,76,0.462,0.503,0.405,0.856,,,F,IN,8.2
LaMelo Ball,204,CHO,1,3,2020,Hawks_NBL,2019-20,Hawks_NBL,1,12,12,375,75,200,55,120,20,80,34,47,23,68,91,82,19,1,30,31,0.375,0.458,0.25,0.723,,,G,IN,5.8
Killian Hayes,128,DET,1,7,2020,Ulm ,2019-20,Ulm,1,10,10,268,46,101,30,60,16,41,20,22,1,22,23,62,15,2,33,32,0.455,0.5,0.39,0.909,,,G,IN,0.5
Serge Ibaka,220,OKC,1,24,2008,Manresa,2007-08,Manresa,1,31,31,498,94,171,93,167,1,4,31,43,48,92,140,6,10,31,29,51,0.55,0.557,0.25,0.721,,,F,IN,9.6
Nicolas Batum,369,HOU,1,25,2008,Le Mans,2007-08,Le Mans,1,30,30,864,134,256,103,167,31,89,70,93,47,104,151,108,40,24,72,50,0.523,0.617,0.348,0.753,,,F,IN,7.9
Ricky Rubio,220,MIN,1,5,2009,Joventut,2008-09,Joventut,1,22,22,500,41,152,38,99,23,53,75,93,16,42,58,135,48,2,66,53,0.401,0.384,0.434,0.806,,,G,IN,6.1
Leandro Bolmaro,210,NYK,1,23,2020,Barca,2019-20,Barca,1,33,33,511,67,134,43,81,24,53,52,60,15,33,48,61,30,6,43,52,0.5,0.531,0.453,0.867,,,F,IN,0
Brandon Jennings,148,MIL,1,10,2009,Virtus Roma,2008-09,Virtus Roma,1,27,27,460,58,154,46,96,12,58,20,31,12,32,44,61,57,1,40,54,0.377,0.479,0.207,0.645,,,G,IN,5.8
Victor Claver,279,POR,1,22,2009,Valencia,2008-09,Valencia,1,34,34,863,103,229,72,132,31,97,42,62,33,131,164,52,31,14,62,74,0.45,0.545,0.32,0.677,,,F,IN,0.2
R.J. Hampton,132,MIL,1,24,2020,Breakers,2019-20,Breakers,1,15,15,309,50,123,37,79,13,44,19,28,11,47,58,36,16,5,23,29,0.407,0.468,0.295,0.679,,,G,IN,0.4
Omri Casspi,140,SAC,1,23,2009,Maccabi Tel Aviv,2008-09,Maccabi Tel Aviv,1,16,16,280,52,103,43,83,9,20,27,35,17,33,50,7,13,3,18,38,0.505,0.518,0.45,0.771,,,F,IN,3.6
Rodrigue Beaubois,290,OKC,1,25,2009,Cholet,2008-09,Cholet,1,29,29,647,115,243,76,120,39,129,21,36,11,62,73,68,32,13,56,83,0.473,0.633,0.317,0.583,,,G,IN,2.2
Kevin Séraphin,181,CHI,1,17,2010,Cholet,2009-10,Cholet,1,29,29,451,78,148,78,148,0,0,25,45,56,65,121,16,6,25,31,53,0.527,0.527,-1,0.556,,,F,IN,2.3
Jonas Valančiūnas,172,TOR,1,5,2011,Rytas,2010-11,Rytas,1,16,16,373,64,101,64,101,0,0,44,55,40,82,122,14,5,25,28,51,0.634,0.634,-1,0.8,,,C,IN,8.2
Jan Veselý,152,WAS,1,6,2011,Partizan,2010-11,Partizan,1,15,15,405,59,110,49,82,10,28,24,54,27,27,54,16,19,13,24,45,0.536,0.598,0.357,0.444,,,F,IN,1.7
Bismack Biyombo,90,SAC,1,7,2011,Fuenlabrada,2010-11,Fuenlabrada,1,14,14,239,32,58,32,58,0,0,26,47,27,44,71,4,5,32,34,28,0.552,0.552,-1,0.553,,,F,IN,5.9
Frank Ntilikina,166,NYK,1,8,2017,Strasbourg,2016-17,Strasbourg,1,32,32,587,63,130,41,79,22,51,18,29,27,41,68,44,24,7,28,73,0.485,0.519,0.432,0.621,,,G,IN,0.9
Donatas Motiejūnas,392,MIN,1,20,2011,Benetton,2010-11,Benetton,1,30,30,772,137,258,119,217,18,41,100,139,55,78,113,32,38,14,60,74,0.531,0.548,0.439,0.719,,,C,IN,4.7
Terrance Ferguson,126,OKC,1,21,2017,Adelaide,2016-17,Adelaide ,1,27,27,414,48,127,29,67,19,60,11,18,14,18,32,18,7,7,28,49,0.378,0.433,0.317,0.611,,,G,IN,2.8
Nikola Mirotić,411,HOU,1,23,2011,Real Madrid,2010-11,Real Madrid,1,33,33,761,141,272,113,193,28,79,101,130,52,129,181,36,35,16,34,55,0.518,0.585,0.354,0.777,,,F,IN,5.7
Evan Fournier,421,DEN,1,20,2012,Poiters,2011-12,Poitiers,1,30,30,779,147,346,109,209,38,137,89,118,34,62,96,66,45,4,65,93,0.425,0.522,0.277,0.754,,,G,IN,5.7
Rudy Gobert,228,DEN,1,27,2013,Cholet,2012-13,Cholet,1,27,27,612,89,124,89,121,0,3,50,71,57,88,145,11,18,50,41,58,0.718,0.736,0,0.704,,,C,IN,14.4
Furkan Korkmaz,51,PHI,1,26,2016,Andolu Efes,2015-16,Andolu Efes,1,19,19,168,18,46,7,20,11,26,4,7,5,12,17,9,2,3,8,27,0.391,0.35,0.423,0.571,,,G,IN,2.8
Nemanja Nedović,98,PHO,1,30,2013,Rytas,2012-13,Rytas,1,10,10,232,36,98,24,63,12,35,14,20,7,18,25,21,8,2,25,19,0.367,0.381,0.343,0.7,,,G,IN,-0.4
Mario Hezonja,146,ORL,1,5,2015,Barca,2014-15,Barca,1,32,32,470,56,124,27,47,29,76,5,6,12,50,62,43,20,3,41,56,0.452,0.574,0.377,0.833,,,F,IN,2.3
Clint Capela,296,HOU,1,25,2014,Élan,2013-14,Élan,1,30,30,651,127,191,127,190,0,1,42,73,76,144,220,36,20,50,46,66,0.665,0.668,0,0.575,,,F,IN,10.8
Bogdan Bogdanović,340,PHO,1,27,2014,Partizan,2013-14,Partizan,1,23,23,722,119,297,69,162,50,135,52,69,17,68,85,84,36,5,78,60,0.401,0.426,0.37,0.754,,,G,IN,3.9
